========================================================
Starting setup in executable
========================================================
Initialising NuOscillatorConfigs/Binned_OscProb.yaml
OscillatorFactory creating OscillatorBase object from config: NuOscillatorConfigs/Binned_OscProb.yaml
PMNS Type : Fast
Number of parameters : 7
Propagation Method : Atmospheric
PREM Model : ./Inputs/OscProb_prem_4+1layers.txt
Detector depth : 1.5km
========================================================
Setting up Oscillators
Finished setup in executable
========================================================
Starting reweight in executable
Index:        81 | NuType:  1 | OscChan:  1 ->   1 | Energy:     7.781 | CosZ:      -0.8 | Prob:  0.287149
Index:        82 | NuType:  1 | OscChan:  1 ->   1 | Energy:   8.93378 | CosZ:      -0.8 | Prob:  0.596979
Index:        83 | NuType:  1 | OscChan:  1 ->   1 | Energy:   10.2574 | CosZ:      -0.8 | Prob:  0.816138
Index:        84 | NuType:  1 | OscChan:  1 ->   1 | Energy:    11.777 | CosZ:      -0.8 | Prob:  0.932569
Index:        85 | NuType:  1 | OscChan:  1 ->   1 | Energy:   13.5218 | CosZ:      -0.8 | Prob:  0.981671
Index:        86 | NuType:  1 | OscChan:  1 ->   1 | Energy:   15.5251 | CosZ:      -0.8 | Prob:  0.997332
Index:        87 | NuType:  1 | OscChan:  1 ->   1 | Energy:   17.8252 | CosZ:      -0.8 | Prob:  0.999858
Index:        88 | NuType:  1 | OscChan:  1 ->   1 | Energy:   20.4661 | CosZ:      -0.8 | Prob:  0.998696
Index:        89 | NuType:  1 | OscChan:  1 ->   1 | Energy:   23.4982 | CosZ:      -0.8 | Prob:  0.997327
Index:        90 | NuType:  1 | OscChan:  1 ->   1 | Energy:   26.9796 | CosZ:      -0.8 | Prob:   0.99662
Index:        91 | NuType:  1 | OscChan:  1 ->   1 | Energy:   30.9767 | CosZ:      -0.8 | Prob:  0.996534
Index:        92 | NuType:  1 | OscChan:  1 ->   1 | Energy:    35.566 | CosZ:      -0.8 | Prob:  0.996827
Index:        93 | NuType:  1 | OscChan:  1 ->   1 | Energy:   40.8353 | CosZ:      -0.8 | Prob:  0.997287
Index:        94 | NuType:  1 | OscChan:  1 ->   1 | Energy:   46.8852 | CosZ:      -0.8 | Prob:   0.99778
Index:        95 | NuType:  1 | OscChan:  1 ->   1 | Energy:   53.8314 | CosZ:      -0.8 | Prob:  0.998235
Index:        96 | NuType:  1 | OscChan:  1 ->   1 | Energy:   61.8067 | CosZ:      -0.8 | Prob:  0.998624
Index:        97 | NuType:  1 | OscChan:  1 ->   1 | Energy:   70.9636 | CosZ:      -0.8 | Prob:  0.998941
Index:        98 | NuType:  1 | OscChan:  1 ->   1 | Energy:   81.4771 | CosZ:      -0.8 | Prob:  0.999192
Index:        99 | NuType:  1 | OscChan:  1 ->   1 | Energy:   93.5482 | CosZ:      -0.8 | Prob:  0.999387
Index:       100 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.107408 | CosZ: -0.666667 | Prob:  0.535176
Index:       101 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.123321 | CosZ: -0.666667 | Prob:  0.911391
Index:       102 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.141591 | CosZ: -0.666667 | Prob:  0.509812
Index:       103 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.162568 | CosZ: -0.666667 | Prob:  0.117868
Index:       104 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.186653 | CosZ: -0.666667 | Prob:  0.130704
Index:       105 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.214306 | CosZ: -0.666667 | Prob:  0.342067
Index:       106 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.246057 | CosZ: -0.666667 | Prob:  0.526496
Index:       107 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.282511 | CosZ: -0.666667 | Prob:  0.746466
Index:       108 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.324366 | CosZ: -0.666667 | Prob:  0.842239
Index:       109 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.372422 | CosZ: -0.666667 | Prob:  0.813788
Index:       110 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.427598 | CosZ: -0.666667 | Prob:  0.852167
Index:       111 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.490948 | CosZ: -0.666667 | Prob:  0.909031
Index:       112 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.563684 | CosZ: -0.666667 | Prob:  0.866016
Index:       113 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.647195 | CosZ: -0.666667 | Prob:  0.880245
Index:       114 | NuType:  1 | OscChan:  1 ->   1 | Energy:   0.74308 | CosZ: -0.666667 | Prob:  0.918924
Index:       115 | NuType:  1 | OscChan:  1 ->   1 | Energy:   0.85317 | CosZ: -0.666667 | Prob:  0.955646
Index:       116 | NuType:  1 | OscChan:  1 ->   1 | Energy:   0.97957 | CosZ: -0.666667 | Prob:  0.961904
Index:       117 | NuType:  1 | OscChan:  1 ->   1 | Energy:    1.1247 | CosZ: -0.666667 | Prob:  0.914639
