========================================================
Starting setup in executable
========================================================
Initialising NuOscillatorConfigs/Binned_GLoBESLinear.yaml
OscillatorFactory creating OscillatorBase object from config: NuOscillatorConfigs/Binned_GLoBESLinear.yaml
========================================================
Setting up Oscillators
Finished setup in executable
========================================================
Starting reweight in executable
Index:       173 | NuType:  1 | OscChan:  2 ->   1 | Energy:   2.57653 | CosZ:      -999 | Prob:0.00461429
Index:       174 | NuType:  1 | OscChan:  2 ->   1 | Energy:   2.95825 | CosZ:      -999 | Prob: 0.0034994
Index:       175 | NuType:  1 | OscChan:  2 ->   1 | Energy:   3.39653 | CosZ:      -999 | Prob:0.00265149
Index:       176 | NuType:  1 | OscChan:  2 ->   1 | Energy:   3.89974 | CosZ:      -999 | Prob: 0.0020079
Index:       177 | NuType:  1 | OscChan:  2 ->   1 | Energy:    4.4775 | CosZ:      -999 | Prob:0.00152005
Index:       178 | NuType:  1 | OscChan:  2 ->   1 | Energy:   5.14085 | CosZ:      -999 | Prob:0.00115056
Index:       179 | NuType:  1 | OscChan:  2 ->   1 | Energy:   5.90249 | CosZ:      -999 | Prob:0.000870861
Index:       180 | NuType:  1 | OscChan:  2 ->   1 | Energy:   6.77697 | CosZ:      -999 | Prob:0.00065919
Index:       181 | NuType:  1 | OscChan:  2 ->   1 | Energy:     7.781 | CosZ:      -999 | Prob:0.000499019
Index:       182 | NuType:  1 | OscChan:  2 ->   1 | Energy:   8.93378 | CosZ:      -999 | Prob:0.000377815
Index:       183 | NuType:  1 | OscChan:  2 ->   1 | Energy:   10.2574 | CosZ:      -999 | Prob:0.000286092
Index:       184 | NuType:  1 | OscChan:  2 ->   1 | Energy:    11.777 | CosZ:      -999 | Prob:0.00021667
Index:       185 | NuType:  1 | OscChan:  2 ->   1 | Energy:   13.5218 | CosZ:      -999 | Prob:0.000164118
Index:       186 | NuType:  1 | OscChan:  2 ->   1 | Energy:   15.5251 | CosZ:      -999 | Prob:0.00012433
Index:       187 | NuType:  1 | OscChan:  2 ->   1 | Energy:   17.8252 | CosZ:      -999 | Prob:9.42017e-05
Index:       188 | NuType:  1 | OscChan:  2 ->   1 | Energy:   20.4661 | CosZ:      -999 | Prob:7.13832e-05
Index:       189 | NuType:  1 | OscChan:  2 ->   1 | Energy:   23.4982 | CosZ:      -999 | Prob:5.40984e-05
Index:       190 | NuType:  1 | OscChan:  2 ->   1 | Energy:   26.9796 | CosZ:      -999 | Prob:4.10034e-05
Index:       191 | NuType:  1 | OscChan:  2 ->   1 | Energy:   30.9767 | CosZ:      -999 | Prob:3.10811e-05
Index:       192 | NuType:  1 | OscChan:  2 ->   1 | Energy:    35.566 | CosZ:      -999 | Prob:2.3562e-05
Index:       193 | NuType:  1 | OscChan:  2 ->   1 | Energy:   40.8353 | CosZ:      -999 | Prob:1.78633e-05
Index:       194 | NuType:  1 | OscChan:  2 ->   1 | Energy:   46.8852 | CosZ:      -999 | Prob:1.35438e-05
Index:       195 | NuType:  1 | OscChan:  2 ->   1 | Energy:   53.8314 | CosZ:      -999 | Prob:1.02694e-05
Index:       196 | NuType:  1 | OscChan:  2 ->   1 | Energy:   61.8067 | CosZ:      -999 | Prob:7.78712e-06
Index:       197 | NuType:  1 | OscChan:  2 ->   1 | Energy:   70.9636 | CosZ:      -999 | Prob:5.90511e-06
Index:       198 | NuType:  1 | OscChan:  2 ->   1 | Energy:   81.4771 | CosZ:      -999 | Prob:4.47814e-06
Index:       199 | NuType:  1 | OscChan:  2 ->   1 | Energy:   93.5482 | CosZ:      -999 | Prob:3.39612e-06
Index:       200 | NuType:  1 | OscChan:  2 ->   2 | Energy:  0.107408 | CosZ:      -999 | Prob:  0.140604
Index:       201 | NuType:  1 | OscChan:  2 ->   2 | Energy:  0.123321 | CosZ:      -999 | Prob:  0.937464
Index:       202 | NuType:  1 | OscChan:  2 ->   2 | Energy:  0.141591 | CosZ:      -999 | Prob:  0.656865
Index:       203 | NuType:  1 | OscChan:  2 ->   2 | Energy:  0.162568 | CosZ:      -999 | Prob: 0.0491761
Index:       204 | NuType:  1 | OscChan:  2 ->   2 | Energy:  0.186653 | CosZ:      -999 | Prob:  0.162575
Index:       205 | NuType:  1 | OscChan:  2 ->   2 | Energy:  0.214306 | CosZ:      -999 | Prob:  0.676943
Index:       206 | NuType:  1 | OscChan:  2 ->   2 | Energy:  0.246057 | CosZ:      -999 | Prob:  0.982245
Index:       207 | NuType:  1 | OscChan:  2 ->   2 | Energy:  0.282511 | CosZ:      -999 | Prob:  0.908682
Index:       208 | NuType:  1 | OscChan:  2 ->   2 | Energy:  0.324366 | CosZ:      -999 | Prob:   0.61457
Index:       209 | NuType:  1 | OscChan:  2 ->   2 | Energy:  0.372422 | CosZ:      -999 | Prob:  0.303207
Index:       210 | NuType:  1 | OscChan:  2 ->   2 | Energy:  0.427598 | CosZ:      -999 | Prob: 0.0909818
Index:       211 | NuType:  1 | OscChan:  2 ->   2 | Energy:  0.490948 | CosZ:      -999 | Prob:0.00495033
Index:       212 | NuType:  1 | OscChan:  2 ->   2 | Energy:  0.563684 | CosZ:      -999 | Prob: 0.0226599
Index:       213 | NuType:  1 | OscChan:  2 ->   2 | Energy:  0.647195 | CosZ:      -999 | Prob:  0.106735
Index:       214 | NuType:  1 | OscChan:  2 ->   2 | Energy:   0.74308 | CosZ:      -999 | Prob:   0.22332
Index:       215 | NuType:  1 | OscChan:  2 ->   2 | Energy:   0.85317 | CosZ:      -999 | Prob:  0.348268
Index:       216 | NuType:  1 | OscChan:  2 ->   2 | Energy:   0.97957 | CosZ:      -999 | Prob:  0.467027
Index:       217 | NuType:  1 | OscChan:  2 ->   2 | Energy:    1.1247 | CosZ:      -999 | Prob:  0.572313
Index:       218 | NuType:  1 | OscChan:  2 ->   2 | Energy:   1.29132 | CosZ:      -999 | Prob:  0.661573
Index:       219 | NuType:  1 | OscChan:  2 ->   2 | Energy:   1.48264 | CosZ:      -999 | Prob:  0.734984
Index:       220 | NuType:  1 | OscChan:  2 ->   2 | Energy:    1.7023 | CosZ:      -999 | Prob:  0.794086
